track_name,artist_name,artist_count,released_year,streams,bpm,key,mode,danceability_pct,valence_pct,energy_pct,acousticness_pct,instrumentalness_pct,liveness_pct,speechiness_pct
Bad Habit,Steve Lacy,1,2022,822633917,169,C#,Major,69,69,51,63,0,38,4
CUFF IT,Beyonce,1,2022,595900742,115,G,Major,78,64,69,4,0,7,14
Lilith,"Halsey, Suga",2,2023,51985779,84,A,Minor,43,14,74,1,0,19,8
Search & Rescue,Drake,1,2023,175097833,142,A#,Minor,82,54,44,6,0,33,7
AMERICA HAS A PROBLEM,"Kendrick Lamar, Beyonce",2,2023,57089066,126,C#,Major,78,20,70,1,0,16,4
Lavender Haze,Taylor Swift,1,2022,488386797,97,A#,Major,73,10,44,26,0,16,8
Link Up,"WizKid, Toian, Metro Boomin, Don Toliver, Beam",5,2023,32761689,101,F,Major,92,59,51,41,51,26,8
Just Wanna Rock,Lil Uzi Vert,1,2022,457184829,150,B,Major,49,4,55,7,0,6,3
Unstoppable,Sia,1,2016,939844851,174,A,Major,47,27,78,11,0,10,8
Until I Found You,Stephen Sanchez,1,2021,726434358,202,A#,Major,34,25,51,69,0,18,4
Rich Flex,"Drake, 21 Savage",2,2022,573633020,153,B,Minor,56,42,52,5,0,36,24
Easy On Me,Adele,1,2021,1406111294,142,F,Major,60,13,37,58,0,13,3
Danger,"Offset, JID",2,2023,24975653,143,B,Major,83,25,69,4,0,23,12
The Real Slim Shady,Eminem,1,2000,1424589568,104,F,Minor,95,78,66,3,0,4,6
The Color Violet,Tory Lanez,1,2021,415932686,105,F#,Minor,65,46,53,16,0,9,5
Glimpse of Us,Joji,1,2022,988515741,170,G#,Major,44,27,32,89,0,14,5
Curtains,Ed Sheeran,1,2023,39893489,176,F#,Minor,50,44,76,10,0,32,5
UNFORGIVEN,"Nile Rodgers, LE SSERAFIM",2,2023,92035115,104,E,Minor,80,38,88,11,0,11,5
Never Felt So Alone,Labrinth,1,2023,117747907,98,F,Major,44,36,41,50,0,38,5
ceilings,Lizzy McAlpine,1,2022,293186992,148,A,Major,51,27,33,48,0,22,3
Cupid,Fifty Fifty,1,2023,139681964,120,D,Major,77,94,66,65,0,38,3
I AM,IVE,1,2023,123132751,122,E,Minor,68,38,88,1,0,8,5
Shorty Party,"Cartel De Santa, La Kelly",2,2023,162887075,96,D,Major,93,47,47,33,0,10,36
Super,SEVENTEEN,1,2023,91221625,137,G#,Major,77,35,88,16,0,17,9
Double Fantasy,"The Weeknd, Future",2,2023,96180277,119,A,Minor,60,10,57,1,0,50,3
All Of The Girls You Loved Before,Taylor Swift,1,2019,185240616,96,D,Major,72,40,47,71,0,13,4
Princess Diana,"Nicki Minaj, Ice Spice",2,2023,104992946,148,A,Major,90,74,68,14,0,10,19
Shivers,Ed Sheeran,1,2021,1302184087,141,D,Major,79,82,86,28,0,4,9
Shoong!,"TAEYANG, Lisa",2,2023,76910644,110,B,Minor,76,26,70,1,0,41,6
Komang,Raim Laode,1,2022,137123880,134,G,Major,70,35,41,41,0,10,3
Made You Look,Meghan Trainor,1,2022,502574952,145,A#,Major,84,88,53,35,0,8,7
Watch This,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",3,2023,207033255,130,B,Minor,69,36,90,1,10,15,4
Lovers Rock,TV Girl,1,2014,466231982,105,F,Minor,56,57,87,0,1,10,4
METAMORPHOSIS,INTERWORLD,1,2021,357580552,175,G,Minor,59,15,64,43,90,12,10
En Paris,"El Chachito, Junior H",2,2022,198275403,139,D#,Minor,70,77,48,37,0,12,5
Set Me Free Pt.2,Jimin,1,2023,168448603,132,,Minor,59,56,82,12,0,12,6
I Was Never There,"The Weeknd, Gesaffelstein",2,2018,705469769,114,A#,Major,32,17,74,14,0,17,3
Don't ever say love me,"RM, Colde",2,2023,34502215,145,B,Minor,54,19,48,36,0,37,5
Shut Down,BLACKPINK,1,2022,482175240,110,,Major,82,67,69,0,0,18,4
Call Out My Name,The Weeknd,1,2018,1449799467,134,C#,Major,45,17,60,21,0,33,4
Sunroof,"Nicky Youre, Dazy",2,2021,652704649,131,A#,Major,77,84,71,35,0,15,4
Lose Yourself,Eminem,1,2002,1829992958,171,D,Major,70,6,73,1,0,36,26
Superman,"Eminem, Dina Rae",2,2002,655466831,130,E,Minor,80,64,76,2,0,20,6
People Pt.2,"IU, Agust D",2,2023,95816024,89,G,Minor,73,44,57,39,0,32,6
DOGTOOTH,"Tyler, The Creator",2,2023,80758350,78,G#,Major,71,80,65,51,0,22,32
SORRY NOT SORRY,"Tyler, The Creator",2,2023,58473276,96,F#,Minor,48,50,80,40,0,37,20
HAPPY,NF,1,2023,52722996,106,G,Major,73,22,86,31,0,12,4
I Know - PR1SVX Edit,"Kanii, PR1ISVX",2,2023,77377503,134,B,Minor,67,11,76,8,47,30,7
Late Night Talking,Harry Styles,1,2022,743693613,115,A#,Major,71,90,73,30,0,11,5
Save Your Tears,"Ariana Grande, The Weeknd",2,2020,1221813483,118,,Major,65,63,79,3,0,10,3
Something in the Orange,Zach Bryan,1,2022,449701773,110,G,Major,59,22,38,42,0,12,3
VOID,Melanie Martinez,1,2023,67070410,100,A,Major,72,42,66,18,4,19,4
Midnight Rain,Taylor Swift,1,2022,433356509,140,,Major,64,18,37,72,0,12,7
If We Ever Broke Up,Mae Stephens,1,2023,165584767,116,G,Major,90,96,73,62,0,9,4
You Proof,Morgan Wallen,1,2022,367814306,120,A,Major,73,64,85,25,0,61,3
Murder In My Mind,Kordhell,1,2022,448843705,120,A#,Major,71,57,97,1,0,13,11
Gangsta's Paradise,"Coolio, L.V.",2,1995,1357608774,80,G#,Major,63,40,61,9,0,56,6
CAIRO,"Karol G, Ovy On The Drums",2,2022,294352144,115,F,Minor,95,43,69,47,0,9,31
I Love You So,The Walters,1,2014,972164968,76,A#,Major,58,46,67,65,0,13,4
Dark Red,Steve Lacy,1,2017,920045682,172,F#,Major,60,77,78,45,0,12,6
Say You Won't Let Go,James Arthur,1,2016,2420461338,99,A#,Major,40,45,56,69,0,9,5
The Hills,The Weeknd,1,2015,1947371785,136,,Minor,36,12,57,9,0,14,8
Heart To Heart,Mac DeMarco,1,2019,244658767,150,G#,Minor,90,64,14,67,35,11,10
Peaches,Jack Black,1,2023,68216992,92,A#,Minor,71,41,31,79,0,10,5
Marisola - Remix,"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",5,2022,223582566,95,C#,Major,77,72,87,17,0,7,5
Low,SZA,1,2022,272377463,145,,Minor,70,34,55,43,0,16,6
Numb,Linkin Park,1,2003,1361425037,110,A,Major,50,24,86,0,0,64,4
on the street,"j-hope, J. Cole",2,2023,116599790,94,B,Minor,68,81,82,53,0,9,13
One Thing At A Time,Morgan Wallen,1,2022,148469433,142,G,Major,61,92,91,0,0,26,3
Miss You,"Robin Schulz, Oliver Tree",2,2022,497225336,145,F#,Minor,59,20,74,1,0,15,5
Ain't That Some,Morgan Wallen,1,2023,88791109,121,F#,Minor,64,67,80,0,0,36,3
Thinkin Bout Me,Morgan Wallen,1,2023,125917280,140,D#,Minor,66,43,76,49,0,12,3
Private Landing,"Don Toliver, Future, Justin Bieber",3,2023,105062254,137,C#,Minor,84,44,67,8,0,11,6
Everything I Love,Morgan Wallen,1,2023,95623148,104,G#,Major,56,72,85,0,0,15,3
Heaven,Niall Horan,1,2023,144584800,92,F,Major,57,68,76,7,0,33,3
LET GO,Central Cee,1,2022,298063749,146,D,Minor,74,51,45,86,0,21,38
I Wrote The Book,Morgan Wallen,1,2023,83021468,144,D,Major,68,83,81,9,0,8,4
SPIT IN MY FACE!,ThxSoMch,1,2022,303216294,94,G#,Major,73,65,79,5,2,11,6
Man Made A Bar,"Morgan Wallen, Eric Church",2,2023,58890931,148,E,Major,50,49,76,12,0,12,3
Red Ruby Da Sleeze,Nicki Minaj,1,2023,81419389,98,C#,Major,70,29,73,12,0,11,26
Kahani Suno 2.0,Kaifi Khalil,1,2022,156777415,140,B,Major,58,26,38,91,0,10,4
Nobody Gets Me,SZA,1,2022,284908316,100,G,Major,36,28,28,81,0,18,3
Hype Boy,NewJeans,1,2022,363472647,100,E,Minor,59,78,94,27,0,29,23
Bloody Mary,Lady Gaga,1,2011,372476382,100,A,Minor,59,49,65,2,0,13,3
98 Braves,Morgan Wallen,1,2023,56533272,142,D,Major,49,48,67,10,0,26,3
Thought You Should Know,Morgan Wallen,1,2022,203221468,140,F#,Major,53,51,70,49,0,14,3
In The End,Linkin Park,1,2000,1624165576,105,D#,Minor,55,40,90,1,0,32,6
I Like You (A Happier Song),"Post Malone, Doja Cat",2,2022,609293408,101,F,Major,74,43,69,12,0,12,7
Revenge,XXXTENTACION,1,2017,1022258230,140,B,Minor,75,18,25,78,0,11,26
Love Again,The Kid Laroi,1,2023,147538971,107,B,Minor,66,47,40,72,0,11,3
After Hours,The Weeknd,1,2020,698086140,109,F,Minor,66,16,57,10,1,12,3
Born With A Beer In My Hand,Morgan Wallen,1,2023,34450974,148,,Major,53,61,81,5,0,36,4
Besos Moja2,"Wisin & Yandel, ROSAL�",2,2022,309483971,94,F,Minor,74,64,73,6,0,10,6
Maan Meri Jaan,King,1,2022,319566866,96,F#,Minor,70,40,51,35,0,10,4
My Universe,"Coldplay, BTS",2,2021,1061966512,105,A,Major,58,42,68,1,0,14,4
Devil Don't Know,Morgan Wallen,1,2023,32526947,125,,Major,53,32,66,38,0,9,3
I'm Not Here To Make Friends,"Sam Smith, Calvin Harris, Jessie Reyez",3,2023,103787664,115,,Major,70,84,90,17,0,41,6
TRUSTFALL,P!nk,1,2023,134255790,122,G#,Major,64,25,89,0,0,15,9
ANTIFRAGILE,LE SSERAFIM,1,2022,301051721,105,A#,Minor,88,82,80,8,0,11,8
Boy's a liar,PinkPantheress,1,2022,156338624,133,F,Major,66,74,84,25,0,21,4
VIBE,"TAEYANG, Jimin",2,2023,152850295,100,,Major,79,60,68,7,0,26,4
Shirt,SZA,1,2022,309653982,120,D#,Minor,82,55,45,15,3,9,10
Lift Me Up,Rihanna,1,2022,297328960,177,A,Major,25,17,30,90,0,13,3
STAR WALKIN',Lil Nas X,1,2022,332506354,142,D,Minor,64,31,72,15,0,9,5
"Sex, Drugs, Etc.",Beach Weather,1,2016,480507035,144,E,Minor,57,47,84,1,1,52,4
Boy With Luv,"Halsey, BTS",2,2019,1065580332,120,B,Minor,65,80,86,9,0,19,10
"Hey, Mickey!",Baby Tate,1,2016,122763672,135,D,Major,92,73,51,55,0,15,6
Space Song,Beach House,1,2015,789753877,147,,Minor,51,62,79,22,13,14,3
